Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
BD,Budgam,Budgam,735753,1406,537,Jammu and Kashmir,Tier III
BPR,Bandipore,Bandipore,385099,3010,128,Jammu and Kashmir,Tier III
BR,Baramulla,Baramulla,1015503,3329,305,Jammu and Kashmir,Tier III
DO,Doda,Doda,409576,2625,79,Jammu and Kashmir,Tier III
GB,Ganderbal,Ganderbal,297003,1979,1151,Jammu and Kashmir,Tier III
JA,Jammu,Jammu,1526406,3097,596,Jammu and Kashmir,Tier II
KT,Kathua,Kathua,615711,2651,232,Jammu and Kashmir,Tier III
KW,Kishtwar,Kishtwar,230696,7737,30,Jammu and Kashmir,Tier III
KG,Kulgam,Kulgam,422786,457,925,Jammu and Kashmir,Tier III
KU,Kupwara,Kupwara,875564,2379,368,Jammu and Kashmir,Tier III
PO,Poonch,Poonch,476820,1674,285,Jammu and Kashmir,Tier III
PU,Pulwama,Pulwama,570060,1398,598,Jammu and Kashmir,Tier III
RA,Rajouri,Rajouri,619266,2630,235,Jammu and Kashmir,Tier III
RB,Ramban,Ramban,283313,1330,213,Jammu and Kashmir,Tier III
RS,Reasi,Reasi,314714,1710,184,Jammu and Kashmir,Tier III
SB,Samba,Samba,318611,913,318,Jammu and Kashmir,Tier III
SH,Shopian,Shopian,265960,312,852,Jammu and Kashmir,Tier III
SR,Srinagar,Srinagar,1269751,2228,703,Jammu and Kashmir,Tier II
UD,Udhampur,Udhampur,555357,4550,211,Jammu and Kashmir,Tier III
BK,Baksa,Mushalpur,953773,2008,475,Assam,Tier III
BJ,Bajali,Pathsala,253816,418,610,Assam,Tier III
BP,Barpeta,Barpeta,1693622,3245,520,Assam,Tier III
BN,Biswanath,Biswanath Chariali,612491,1415,430,Assam,Tier III
BO,Bongaigaon,Bongaigaon,732639,1724,425,Assam,Tier III
CA,Cachar,Silchar,1736319,3786,459,Assam,Tier III
CD,Charaideo,Sonari,471418,1069,440,Assam,Tier III
CH,Chirang,Kajalgaon,481818,1975,244,Assam,Tier III
DR,Darrang,Mangaldoi,908090,1849,491,Assam,Tier III
DM,Dhemaji,Dhemaji,688077,3237,213,Assam,Tier III
DU,Dhubri,Dhubri,1948632,2838,687,Assam,Tier III
DI,Dibrugarh,Dibrugarh,1327748,3381,393,Assam,Tier III
NC,Dima Hasao,Haflong,213529,4888,44,Assam,Tier III
GP,Goalpara,Goalpara,1008959,1824,553,Assam,Tier III
GG,Golaghat,Golaghat,1058674,3502,302,Assam,Tier III
HA,Hailakandi,Hailakandi,659260,1327,497,Assam,Tier III
HJ,Hojai,Sankardev Nagar,931218,1686,550,Assam,Tier III
JO,Jorhat,Jorhat,1091295,2851,383,Assam,Tier III
KU,Kamrup,Amingaon,1517202,3480,436,Assam,Tier III
KM,Kamrup Metropolitan,Guwahati,1260419,627,2010,Assam,Tier III
KG,Karbi Anglong,Diphu,965280,10434,93,Assam,Tier III
KR,Karimganj,Karimganj,1217002,1809,673,Assam,Tier III
KJ,Kokrajhar,Kokrajhar,886999,3129,283,Assam,Tier III
LA,Lakhimpur,North Lakhimpur,1040644,2277,457,Assam,Tier III
MJ,Majuli,Garamur,167304,880,300,Assam,Tier III
MA,Morigaon,Marigaon,957853,1704,562,Assam,Tier III
NN,Nagaon,Nagaon,2826006,3831,738,Assam,Tier III
NB,Nalbari,Nalbari,769919,1009,763,Assam,Tier III
ST,Sivasagar,Sibsagar,1150253,2668,431,Assam,Tier III
SO,Sonitpur,Tezpur,1925975,5324,362,Assam,Tier III
SM,South Salmara-Mankachar,Hatsingimari,555114,568,980,Assam,Tier III
TP,Tamulpur,Tamulpur,389150,884,440,Assam,Tier III
TI,Tinsukia,Tinsukia,1316948,3790,347,Assam,Tier III
UD,Udalguri,Udalguri,832769,1676,497,Assam,Tier III
WK,West Karbi Anglong,Hamren,300320,3035,99,Assam,Tier III
AN,Anupgarh,Anupgarh,869696.0,8871.99,98.0,Rajasthan,Tier III
AJ,Ajmer,Ajmer,2584913.0,8481.0,305.0,Rajasthan,Tier II
AL,Alwar,Alwar,3671999.0,8380.0,438.0,Rajasthan,Tier III
BA,Balotra,Balotra,970760.0,19000.0,51.0,Rajasthan,Tier III
BE,Beawar,Beawar,,,,Rajasthan,Tier III
BI,Bikaner,Bikaner,2367745.0,27244.0,78.0,Rajasthan,Tier II
BM,Barmer,Barmer,2604453.0,28387.0,92.0,Rajasthan,Tier III
BN,Banswara,Banswara,1798194.0,5037.0,399.0,Rajasthan,Tier III
BP,Bharatpur,Bharatpur,2549121.0,5066.0,503.0,Rajasthan,Tier III
BR,Baran,Baran,1223921.0,6955.0,175.0,Rajasthan,Tier III
BU,Bundi,Bundi,1113725.0,5550.0,193.0,Rajasthan,Tier III
BW,Bhilwara,Bhilwara,2410459.0,10455.0,230.0,Rajasthan,Tier III
CR,Churu,Churu,2041172.0,16830.0,148.0,Rajasthan,Tier III
CT,Chittorgarh,Chittorgarh,1544392.0,10856.0,193.0,Rajasthan,Tier III
DA,Dausa,Dausa,1637226.0,3429.0,476.0,Rajasthan,Tier III
-,Deeg,Deeg,1072755.0,,,Rajasthan,Tier III
dk,Didwana Kuchaman,Didwana,1625837.0,,239.0,Rajasthan,Tier III
DH,Dholpur,Dholpur,1207293.0,3084.0,398.0,Rajasthan,Tier III
-,Dudu,Dudu,312857.0,,,Rajasthan,Tier III
DU,Dungarpur,Dungarpur,1388906.0,3771.0,368.0,Rajasthan,Tier III
GC,Gangapur city,Gangapur City,,,,Rajasthan,Tier III
GA,Sri Ganganagar,Sri Ganganagar,1969520.0,10990.0,179.0,Rajasthan,Tier III
HA,Hanumangarh,Hanumangarh,1779650.0,9670.0,184.0,Rajasthan,Tier III
-,Jaipur Gramin,Jaipur,,,,Rajasthan,Tier III
JJ,Jhunjhunu,Jhunjhunu,2139658.0,5928.0,361.0,Rajasthan,Tier III
JL,Jalore,Jalore,1830151.0,10640.0,172.0,Rajasthan,Tier III
JO,Jodhpur,Jodhpur,3685681.0,22850.0,161.0,Rajasthan,Tier II
-,Jodhpur Gramin,Jodhpur,,,,Rajasthan,Tier III
JP,Jaipur,Jaipur,6626178.0,11143.0,595.0,Rajasthan,Tier II
JS,Jaisalmer,Jaisalmer,672008.0,38401.0,17.0,Rajasthan,Tier III
JW,Jhalawar,Jhalawar,1411327.0,6219.0,227.0,Rajasthan,Tier III
KA,Karauli,Karauli,1458459.0,5530.0,264.0,Rajasthan,Tier III
KE,Kekri,Kekri,,,,Rajasthan,Tier III
KT,Khairthal-Tijara,Khairthal,966821.0,,,Rajasthan,Tier III
KP,Kotputli-Behror,Kotputli,,,,Rajasthan,Tier III
KO,Kota,Kota,1950491.0,5446.0,374.0,Rajasthan,Tier II
TO,Tonk,Tonk,1421711.0,7194.0,198.0,Rajasthan,Tier III
UD,Udaipur,Udaipur,3067549.0,13430.0,242.0,Rajasthan,Tier III
,Nagaur,Nagaur,3309234.0,17718.0,187.0,Rajasthan,Tier III
NT,Neem Ka Thana,Neem Ka Thana,,,,Rajasthan,Tier III
PA,Pali,Pali,2038533.0,12387.0,165.0,Rajasthan,Tier III
PH,Phalodi,Phalodi,,,,Rajasthan,Tier III
PG,Pratapgarh,Pratapgarh,867848.0,4112.0,211.0,Rajasthan,Tier III
RA,Rajsamand,Rajsamand,1158283.0,3853.0,302.0,Rajasthan,Tier III
SA,Sanchore,Sanchore,845457.0,181.0,4865.41,Rajasthan,Tier III
-,Salumbar,Salumbar,,,,Rajasthan,Tier III
SK,Sikar,Sikar,2677737.0,7732.0,346.0,Rajasthan,Tier III
-,Shahpura,Shahpura,,,,Rajasthan,Tier III
SM,Sawai Madhopur,Sawai Madhopur,1338114.0,4500.0,257.0,Rajasthan,Tier III
SR,Sirohi,Sirohi,1037185.0,5136.0,202.0,Rajasthan,Tier III
DH,Dhalai,Ambassa,377988,2400.0,157,Tripura,Tier III
GM,Gomati,Udaipur,436868,1522.8,287,Tripura,Tier III
KH,Khowai,Khowai,327391,1005.67,326,Tripura,Tier III
NT,North Tripura,Dharmanagar,415946,1444.5,288,Tripura,Tier III
SP,Sepahijala,Bishramganj,484233,1044.78,463,Tripura,Tier III
ST,South Tripura,Belonia,433737,1534.2,283,Tripura,Tier III
UK,Unakoti,Kailashahar,277335,591.93,469,Tripura,Tier III
WT,West Tripura,Agartala,917534,942.55,973,Tripura,Tier III
BK,Bagalkot,Bagalkote,1890826,6583,288,Karnataka,Tier III
BL,Ballari,Ballari,1400970,4252,330,Karnataka,Tier III
BG,Belagavi,Belgaum,4778439,13415,356,Karnataka,Tier II
BR,Bangalore Rural,Bangalore,987257,2239,441,Karnataka,Tier III
BN,Bangalore Urban,Bangalore,9588910,2190,4378,Karnataka,Tier III
BD,Bidar,Bidar,1700018,5448,312,Karnataka,Tier III
CJ,Chamarajanagar,Chamarajanagar,1020962,5102,200,Karnataka,Tier III
CK,Chikkaballapur,Chikkaballapur,1254377,4208,298,Karnataka,Tier III
CK,Chikmagalur,Chikmagalur,1137753,7201,158,Karnataka,Tier III
CT,Chitradurga,Chitradurga,1660378,8437,197,Karnataka,Tier III
DK,Dakshina Kannada,Mangalore,2083625,4559,457,Karnataka,Tier III
DA,Davanagere,Davangere,1643494,4460,370,Karnataka,Tier III
DH,Dharwad,Dharwad,1846993,4265,434,Karnataka,Tier III
GA,Gadaga,Gadag-Betageri,1065235,4651,229,Karnataka,Tier III
GU,Kalaburagi,Kalaburagi,2564892,10990,233,Karnataka,Tier II
HS,Hassan,Hassan,1776221,6814,261,Karnataka,Tier III
HV,Haveri,Haveri,1598506,4825,331,Karnataka,Tier III
KD,Kodagu,Madikeri,554762,4102,135,Karnataka,Tier III
KL,Kolar,Kolar,1540231,4012,384,Karnataka,Tier III
KP,Koppal,Koppal,1391292,5565,250,Karnataka,Tier III
MA,Mandya,Mandya,1808680,4961,365,Karnataka,Tier III
MY,Mysore,Mysore,2994744,6854,437,Karnataka,Tier III
RA,Raichur,Raichur,1924773,6839,228,Karnataka,Tier III
RM,Ramanagara,Ramanagara,1082739,3573,303,Karnataka,Tier III
SH,Shimoga,Shimoga,1755512,8495,207,Karnataka,Tier III
TU,Tumakuru,Tumakuru,2681449,10598,253,Karnataka,Tier III
UD,Udupi,Udupi,1177908,3879,304,Karnataka,Tier III
UK,Uttara Kannada,Karwar,1353299,10291,132,Karnataka,Tier III
,Vijayanagara,Hospete,1353628,5644,240,Karnataka,Tier III
BJ,Bijapur,Bijapur,2175102,10517,207,Karnataka,Tier III
YG,Yadgir,Yadgir,1172985,5225,224,Karnataka,Tier III
AI,Aizawl,Aizawl,404054,3577,113,Mizoram,Tier III
CH,Champhai,Champhai,125370,3168,39,Mizoram,Tier III
-,Hnahthial,Hnahthial,28468,–,–,Mizoram,Tier III
-,Khawzawl,Khawzawl,0,–,–,Mizoram,Tier III
KO,Kolasib,Kolasib,83054,1386,60,Mizoram,Tier III
LA,Lawngtlai,Lawngtlai,117444,2519,46,Mizoram,Tier III
LU,Lunglei,Lunglei,154094,4572,34,Mizoram,Tier III
MA,Mamit,Mamit,85757,2967,28,Mizoram,Tier III
SA,Saiha,Saiha,56366,1414,40,Mizoram,Tier III
-,Saitual,Saitual,0,–,–,Mizoram,Tier III
SE,Serchhip,Serchhip,64875,1424,46,Mizoram,Tier III
KA,Karaikal,Karaikal,200222,157,1275,Puducherry,Tier III
MA,Mahé,Mahé,41816,9,4646,Puducherry,Tier III
PO,Puducherry,Pondicherry,950289,293,3232,Puducherry,Tier II
YA,Yanam,Yanam,55626,30,1854,Puducherry,Tier III
AG,Agra,Agra,4380793,4027,1084,Uttar Pradesh,Tier II
AL,Aligarh,Aligarh,3673849,3747,1007,Uttar Pradesh,Tier II
AN,Ambedkar Nagar,Akbarpur,2398709,2372,1021,Uttar Pradesh,Tier III
AM,Amethi,Gauriganj,2549935,3063,830,Uttar Pradesh,Tier III
JP,Amroha,Amroha,1838771,2321,818,Uttar Pradesh,Tier III
AU,Auraiya,Auraiya,1372287,2051,681,Uttar Pradesh,Tier III
FZ,Ayodhya,Ayodhya,2468371,2765,1054,Uttar Pradesh,Tier III
AZ,Azamgarh,Azamgarh,4616509,4053,1139,Uttar Pradesh,Tier III
BG,Bagpat,Baghpat,1302156,1345,986,Uttar Pradesh,Tier III
BH,Bahraich,Bahraich,2384239,4926,415,Uttar Pradesh,Tier III
BL,Ballia,Ballia,3223642,2981,1081,Uttar Pradesh,Tier III
BP,Balrampur,Balrampur,2149066,3349,642,Uttar Pradesh,Tier III
BN,Banda,Banda,1799541,4413,404,Uttar Pradesh,Tier III
BB,Barabanki,Barabanki,3257983,3825,739,Uttar Pradesh,Tier III
BR,Bareilly,Bareilly,4465344,4120,1084,Uttar Pradesh,Tier II
BS,Basti,Basti,2461056,2687,916,Uttar Pradesh,Tier III
BH,Bhadohi,Gyanpur,1554203,960,1531,Uttar Pradesh,Tier III
BI,Bijnor,Bijnor,3683896,4561,808,Uttar Pradesh,Tier III
BD,Budaun,Budaun,3712738,5168,718,Uttar Pradesh,Tier III
BU,Bulandshahr,Bulandshahr,3498507,3719,788,Uttar Pradesh,Tier III
CD,Chandauli,Chandauli,1952713,2554,768,Uttar Pradesh,Tier III
CT,Chitrakoot,Karwi,990626,3202,315,Uttar Pradesh,Tier III
DE,Deoria,Deoria,3098637,2535,1220,Uttar Pradesh,Tier III
ET,Etah,Etah,1761152,2456,717,Uttar Pradesh,Tier III
EW,Etawah,Etawah,1579160,2287,683,Uttar Pradesh,Tier III
